"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
"101E","SA","115725258","E-Line Union Station","0"," 101 33","1325386"
"101E","SA","115725289","E-Line Union Station","0"," 101 33","1325386"
"101E","SA","115725242","E-Line Union Station","0"," 101 34","1325386"
"101E","SA","115725246","E-Line Union Station","0"," 101 36","1325386"
"101H","SA","115725292","H-Line 18th & California","0"," 101 51","1325380"
"101H","SA","115725134","H-Line 18th & California","0"," 101 52","1325380"
"101H","SA","115725122","H-Line 18th & California","0"," 101 52","1325380"
"101H","SA","115725088","H-Line 18th & California","0"," 101 56","1325380"
"101E","SA","115725167","E-Line Union Station","0"," 103 74","1325393"
"101D","SA","115725301","D-Line 16th & California","0"," 109  8","1325388"
"101D","SA","115725302","D-Line 16th & California","0"," 109  9","1325388"
"101D","SA","115725176","D-Line 18th & California","0"," 101 11","1325385"
"101D","SA","115725204","D-Line 18th & California","0"," 101 11","1325385"
"101D","SA","115725197","D-Line 18th & California","0"," 101 12","1325385"
"101D","SA","115725217","D-Line 18th & California","0"," 101 14","1325385"
"101D","SA","115725219","D-Line 18th & California","0"," 101 16","1325385"
"101D","SA","115725212","D-Line 18th & California","0"," 101 16","1325385"
"101E","SA","115725271","E-Line Union Station","0"," 101 31","1325386"
"101E","SA","115725313","E-Line RidgeGate","1"," 101 32","1325408"
"101E","SA","115725339","E-Line RidgeGate","1"," 101 32","1325408"
"101E","SA","115725329","E-Line RidgeGate","1"," 101 32","1325408"
"101E","SA","115725452","E-Line RidgeGate","1"," 101 33","1325407"
"101E","SA","115725314","E-Line RidgeGate","1"," 101 33","1325408"
"101E","SA","115725332","E-Line RidgeGate","1"," 101 35","1325408"
"101E","SA","115725322","E-Line RidgeGate","1"," 101 35","1325408"
"101E","SA","115725353","E-Line RidgeGate","1"," 101 38","1325408"
"101H","SA","115725427","H-Line Florida","1"," 101 51","1325405"
"101H","SA","115725532","H-Line Florida","1"," 101 51","1325405"
"101H","SA","115725425","H-Line Florida","1"," 101 52","1325405"
"101H","SA","115725439","H-Line Florida","1"," 101 51","1325423"
"101H","SA","115725390","H-Line Florida","1"," 101 55","1325405"
"101H","SA","115725393","H-Line Florida","1"," 101 57","1325405"
"101H","SA","115725387","H-Line Florida","1"," 101 58","1325405"
"101D","SA","115725519","D-Line Mineral","1"," 101 11","1325412"
"101D","SA","115725505","D-Line Mineral","1"," 101 11","1325412"
"101D","SA","115725528","D-Line Mineral","1"," 101 12","1325412"
"101D","SA","115725524","D-Line Mineral","1"," 101 12","1325412"
"101D","SA","115725475","D-Line Mineral","1"," 101 12","1325412"
"101D","SA","115725525","D-Line Mineral","1"," 101 14","1325412"
"101E","SA","115725453","E-Line RidgeGate","1"," 101 31","1325407"
"101E","SA","115725361","E-Line RidgeGate","1"," 101 32","1325408"
"101E","SU","115725747","E-Line Union Station","0"," 101 33","1325386"
"101E","SU","115725706","E-Line Union Station","0"," 101 37","1325386"
"101E","SU","115725750","E-Line Union Station","0"," 101 39","1325386"
