"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
"0","SA","115699108","Union Station","0","   0  1","1325342"
"0","SA","115699077","Union Station","0","   0  1","1325342"
"0","SA","115699131","Union Station","0","   0  1","1325342"
"0","SA","115699101","Union Station","0","   0  4","1325342"
"0","SA","115699104","Union Station","0","   0  5","1325342"
"0","SA","115699074","Union Station","0","   0  3","1325342"
"0","SA","115699109","Union Station","0","   0  3","1325342"
"0","SA","115699126","Union Station","0","   0  8","1325342"
"0","SA","115699095","Union Station","0","   0  8","1325344"
"0","SA","115699100","Union Station","0","   0  6","1325342"
"0","SA","115699080","Union Station","0","   0  8","1325342"
"0","SA","115699096","Union Station","0","   0  8","1325342"
"0","SA","115699187","Englewood Station","1","   0  1","1325346"
"0","SA","115699162","Englewood Station","1","   0  4","1325345"
"0","SA","115699203","Englewood Station","1","   0  8","1325346"
"0","SA","115699165","Englewood Station","1","   0  8","1325346"
"0","SA","115699145","Englewood Station","1","   0  9","1325346"
"0","SA","115699148","Englewood Station","1","   0  6","1325346"
"0","SA","115699166","Englewood Station","1","   0  7","1325346"
"0","SA","115699135","Englewood Station","1","   0  8","1325346"
"0","SU","115756051","Union Station","0","   0  6","1325342"
"0","SU","115756020","Union Station","0","   0  8","1325342"
"0","SU","115756014","Union Station","0","   0  8","1325342"
"0","SU","115756058","Union Station","0","   0  8","1325342"
"0","SU","115756021","Union Station","0","   0  8","1325342"
"0","SU","115756062","Union Station","0","   0  1","1325342"
"0","SU","115756038","Union Station","0","   0  2","1325342"
"0","SU","115756063","Union Station","0","   0  2","1325342"
"0","SU","115756083","Englewood Station","1","   0  4","1325346"
"0","SU","115756131","Englewood Station","1","   0  5","1325346"
"0","SU","115756134","Englewood Station","1","   0  6","1325346"
"0","SU","115756104","Englewood Station","1","   0  6","1325346"
"0","SU","115756115","Englewood Station","1","   0  7","1325346"
"0","SU","115756130","Englewood Station","1","   0  2","1325346"
"0","SU","115756112","Englewood Station","1","   0  3","1325346"
"0","WK","115699386","Union Station","0","   0  6","1325342"
"0","WK","115699359","Union Station","0","   0  6","1325342"
"0","WK","115699360","Union Station","0","   0  8","1325342"
"0","WK","115699344","Union Station","0","   0  8","1325342"
"0","WK","115699339","Union Station","0","   0  9","1325342"
"0","WK","115699384","Union Station","0","   0  1","1325342"
"0","WK","115699375","Union Station","0","   0  1","1325342"
"0","WK","115699341","Union Station","0","   0  1","1325342"
"0","WK","115699379","Union Station","0","   0  2","1325342"
"0","WK","115699381","Union Station","0","   0  3","1325342"
"0","WK","115699355","Union Station","0","   0  3","1325342"
"0","WK","115699346","Union Station","0","   0  3","1325342"
"0","WK","115699385","Union Station","0","   0  4","1325342"
"0","WK","115699367","Union Station","0","   0  4","1325342"
"0","WK","115699383","Union Station","0","   0  5","1325342"
"0","WK","115699477","Englewood Station","1","   0  5","1325346"
"0","WK","115699405","Englewood Station","1","   0  8","1325346"
"0","WK","115699435","Englewood Station","1","   0  9","1325346"
