"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
"113B","SA","115543757","Union Station","0"," 113  1","1316736"
"113G","SA","115543771","Union Station","0"," 113 30","1316730"
"113G","SA","115543778","Union Station","0"," 113 31","1316730"
"113G","SA","115543752","Union Station","0"," 113 31","1316730"
"113G","SA","115543794","Union Station","0"," 113 32","1316730"
"113B","SA","115543802","Westminster Station","1"," 113  1","1316744"
"113B","SA","115543806","Westminster Station","1"," 113  1","1316744"
"113B","SA","115543851","Westminster Station","1"," 113  1","1316744"
"113B","SA","115543810","Westminster Station","1"," 113  1","1316744"
"113B","SA","115543825","Westminster Station","1"," 113  1","1316744"
"113B","SA","115543856","Westminster Station","1"," 113  1","1316744"
"113G","SA","115543828","Wheat Ridge Ward Station","1"," 113 30","1316747"
"113G","SA","115543840","Wheat Ridge Ward Station","1"," 113 30","1316747"
"113G","SA","115543829","Wheat Ridge Ward Station","1"," 113 31","1316747"
"113G","SA","115543815","Wheat Ridge Ward Station","1"," 113 32","1316747"
"113G","SU","115543884","Union Station","0"," 113 32","1316730"
"113G","SU","115543876","Union Station","0"," 113 32","1316730"
"113G","SU","115543906","Union Station","0"," 113 32","1316730"
"113B","SU","115543861","Union Station","0"," 113  1","1316736"
"113B","SU","115543910","Union Station","0"," 113  1","1316736"
"113G","SU","115543900","Union Station","0"," 113 30","1316730"
"113G","SU","115543892","Union Station","0"," 113 30","1316730"
"113G","SU","115543886","Union Station","0"," 113 30","1316730"
"113G","SU","115543879","Union Station","0"," 113 30","1316730"
"113G","SU","115543899","Union Station","0"," 113 31","1316730"
"113G","SU","115543896","Union Station","0"," 113 31","1316730"
"113G","SU","115543925","Wheat Ridge Ward Station","1"," 113 31","1316747"
"113G","SU","115543974","Wheat Ridge Ward Station","1"," 113 32","1316747"
"113G","SU","115543924","Wheat Ridge Ward Station","1"," 113 32","1316747"
"113B","SU","115543955","Westminster Station","1"," 113  1","1316744"
"113B","SU","115543984","Westminster Station","1"," 113  1","1316744"
"113B","SU","115543958","Westminster Station","1"," 113  1","1316744"
"113G","SU","115543933","Wheat Ridge Ward Station","1"," 113 30","1316747"
"113B","MT","115543617","Union Station","0"," 113  2","1316736"
"113B","MT","115543616","Union Station","0"," 113  2","1316736"
"113B","MT","115543670","Union Station","0"," 113  2","1316736"
"113G","MT","115543644","Union Station","0"," 113 30","1316730"
"113G","MT","115543646","Union Station","0"," 113 31","1316730"
"113G","MT","115543643","Union Station","0"," 113 31","1316730"
"113G","MT","115543637","Union Station","0"," 113 31","1316730"
"113G","MT","115543656","Union Station","0"," 113 32","1316730"
"113G","MT","115543633","Union Station","0"," 113 32","1316730"
"113B","MT","115543711","Westminster Station","1"," 113  2","1316744"
"113G","MT","115543673","Wheat Ridge Ward Station","1"," 113 30","1316747"
"113G","MT","115543694","Wheat Ridge Ward Station","1"," 113 31","1316747"
"113G","MT","115543691","Wheat Ridge Ward Station","1"," 113 31","1316747"
"113G","MT","115543685","Wheat Ridge Ward Station","1"," 113 32","1316747"
"113B","FR","115543500","Union Station","0"," 113  2","1316736"
"113B","FR","115543502","Union Station","0"," 113  2","1316736"
"113G","FR","115543516","Union Station","0"," 113 30","1316730"
"113G","FR","115543537","Union Station","0"," 113 30","1316730"
"113G","FR","115543539","Union Station","0"," 113 30","1316730"
"113G","FR","115543514","Union Station","0"," 113 31","1316730"
"113G","FR","115543515","Union Station","0"," 113 32","1316730"
"113G","FR","115543546","Union Station","0"," 113 32","1316730"
"113B","FR","115543593","Westminster Station","1"," 113  2","1316744"
