"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
"10","SA","115539015","9th Clermont via 12th Ave","0","  10  2","1316583"
"10","SA","115539037","9th Clermont via 12th Ave","0","  10  4","1316583"
"10","SA","115539064","Union Station","1","  10  2","1316588"
"10","SA","115539056","Union Station","1","  10  2","1316588"
"10","SA","115539070","Union Station","1","  10  4","1316588"
"10","SU","115539107","9th Clermont via 12th Ave","0","  10  4","1316583"
"10","SU","115539085","9th Clermont via 12th Ave","0","  10  4","1316583"
"10","SU","115539110","9th Clermont via 12th Ave","0","  10  2","1316583"
"10","WK","115539191","9th Clermont via 12th Ave","0","  10 23","1316583"
"100","SA","115567812","US 36 & Sheridan","0"," 100  1","1318224"
"100","SA","115567816","Federal Center Station","1"," 100  1","1318227"
"100","SA","115567826","Federal Center Station","1"," 100  3","1318227"
"100","SU","115567839","Arvada Ridge Station","0"," 100  1","1318225"
"100","SU","115567841","Arvada Ridge Station","0"," 100  1","1318225"
"100","SU","115567834","Arvada Ridge Station","0"," 100  1","1318225"
"100","SU","115567850","Federal Center Station","1"," 100  1","1318228"
"100","SU","115567851","Federal Center Station","1"," 100  1","1318228"
"100","WK","115567875","Arvada Ridge Station","0"," 100  1","1318225"
"100","WK","115567860","US 36 & Sheridan","0"," 100  3","1318224"
"100","WK","115567862","US 36 & Sheridan","0"," 100  4","1318224"
"100","WK","115567913","Federal Center Station","1"," 100  1","1318228"
"100","WK","115567905","Federal Center Station","1"," 100  2","1318228"
"100","WK","115567911","Federal Center Station","1"," 100  3","1318228"
"100","WK","115567894","Federal Center Station","1"," 100  3","1318226"
"105","SA","115542182","Central Park","0"," 105  2","1316694"
"105","SA","115542177","Central Park","0"," 105  2","1316694"
"105","SA","115542245","Southmoor Via Havana","1"," 105  2","1316697"
"105","SA","115542228","Southmoor Via Havana","1"," 105  2","1316697"
"11","SA","115543261","Aurora Metro Cntr via Mississippi","0","  11  2","1316715"
"11","SA","115543260","Aurora Metro Cntr via Mississippi","0","  11  3","1316715"
"11","SA","115543265","Aurora Metro Cntr via Mississippi","0","  11  5","1316715"
"11","SA","115543272","Aurora Metro Cntr via Mississippi","0","  11  5","1316715"
"11","SA","115543253","Aurora Metro Cntr via Mississippi","0","  11  5","1316714"
"11","SA","115543270","Aurora Metro Cntr via Mississippi","0","  11  9","1316715"
"11","SA","115543267","Aurora Metro Cntr via Mississippi","0","  11  9","1316715"
"11","SA","115543294","Lakewood Commons","1","  11  2","1316724"
"11","SA","115543289","Lakewood Commons via Mosier Pl","1","  11  3","1316723"
"11","SA","115543311","Broadway Stn","1","  11  5","1316722"
"11","SA","115543298","Lakewood Commons","1","  11  6","1316724"
"11","SU","115543331","Aurora Metro Cntr via Mississippi","0","  11  1","1316715"
"112","SA","115543436","US36 & Broomfield","1"," 120  1","1316729"
"112","SA","115543431","US36 & Broomfield","1"," 120  3","1316729"
"112","SU","115543448","Northglenn & 112th Ave Stn via 112th Ave","0"," 120  1","1316725"
"112","SU","115543445","Northglenn & 112th Ave Stn via 112th Ave","0"," 120  1","1316725"
"112","SU","115543446","Northglenn & 112th Ave Stn via 112th Ave","0"," 120  3","1316725"
"112","SU","115543450","US36 & Broomfield","1"," 120  2","1316729"
"112","WK","115543471","Northglenn & 112th Ave Stn via 112th Ave","0"," 120  3","1316725"
"112","WK","115543462","Northglenn & 112th Ave Stn via 112th Ave","0"," 120  5","1316725"
"12","WK","115544477","38th & Blake Station via Downing St","0","  12 31","1316776"
"12","WK","115544496","38th & Blake Station via Downing St","0","  12 31","1316777"
"12","WK","115544554","Corona St & Colfax Ave via 30th & Downing","1","  12 21","1316778"
"120","SA","115564247","Eastlake & 124th Ave Stn Eastbound","0"," 120  3","1317908"
"120","SA","115564252","Eastlake & 124th Ave Stn Eastbound","0"," 120  1","1317908"
"120","SA","115564249","Eastlake & 124th Ave Stn Eastbound","0"," 120  1","1317908"
"120","SA","115564270","US 36 & Broomfield Stn via 120th Ave","1"," 120  2","1317914"
"120","SU","115564289","Eastlake & 124th Ave Stn Eastbound","0"," 120  1","1317908"
"120","SU","115564290","Eastlake & 124th Ave Stn Eastbound","0"," 120  2","1317908"
"120","SU","115564292","US 36 & Broomfield Stn via 120th Ave","1"," 120  2","1317914"
"120","SU","115564302","US 36 & Broomfield Stn via 120th Ave","1"," 120  3","1317914"
"120","WK","115564324","Eastlake & 124th Ave Stn Eastbound","0"," 120  6","1317908"
"120","WK","115564327","Eastlake & 124th Ave Stn Eastbound","0"," 120  2","1317908"
"120","WK","115564318","Wagon Road PnR Eastbound","0"," 120  2","1317907"
"120","WK","115564325","Eastlake & 124th Ave Stn Eastbound","0"," 120  4","1317908"
"120L","SA","115544703","Thornton / Brighton","0"," 520 11","1316789"
"120L","SA","115544723","Thornton / Brighton","1"," 520 12","1316791"
"120L","SA","115544722","Thornton / Brighton","1"," 520 13","1316791"
"120L","WK","115544745","Thornton / Brighton","0","120L  5","1316790"
"120L","WK","115544737","Thornton / Brighton","0","120L  5","1316790"
"120L","WK","115544755","Thornton / Brighton","1","120L  5","1316792"
"120L","WK","115544751","Thornton / Brighton","1","120L  5","1316792"
"120L","WK","115544752","Thornton / Brighton","1","120L  6","1316792"
"121","WK","115545111","40th & Airport Stn via Montbello","0"," 121  3","1316802"
"121","WK","115545128","40th & Airport Stn via Montbello","0"," 121  8","1316802"
"121","WK","115545162","Peoria Stn via Peoria","0"," 121  8","1316805"
"121","WK","115545190","Nine Mile via Peoria","1"," 121  3","1316807"
"121","WK","115545196","Nine Mile via Peoria","1"," 121  8","1316808"
"121","WK","115545183","Nine Mile via Peoria","1"," 121  9","1316807"
"130","SU","115545326","Aurora Metro Cntr via Buckley","0"," 130  1","1316818"
"130","SU","115545330","Aurora Metro Cntr via Buckley","0"," 130  1","1316818"
"130","SU","115545338","Aurora Metro Cntr via Buckley","0"," 130  1","1316818"
"130","SU","115545334","Aurora Metro Cntr via Buckley","0"," 130  2","1316818"
"130","SU","115545318","Aurora Metro Cntr via Buckley","0"," 130  2","1316818"
"130","SU","115545361","Nine Mile Stn via Buckley","1"," 130  1","1316819"
"14","SA","115545892","I-25 & Broadway Station","0","  14  3","1316831"
"14","SA","115545888","I-25 & Broadway Station","0","  14  1","1316831"
"14","SA","115545897","I-25 & Broadway Station","0","  14  2","1316831"
"14","SA","115545895","I-25 & Broadway Station","0","  14  2","1316831"
"14","SA","115545937","Lakewood Commons","1","  14  3","1316832"
"14","SA","115545936","Lakewood Commons","1","  14  1","1316832"
"14","WK","115545977","I-25 & Broadway Station","0","  14  1","1316831"
"14","WK","115545960","I-25 & Broadway Station","0","  14  2","1316831"
"14","WK","115546003","Lakewood Commons","1","  14  1","1316832"
"14","WK","115545988","Lakewood Commons","1","  14  3","1316832"
"145X","SA","115546014","Denver Airpt","1","  11  1","1316835"
"169","SU","115547789","40th & Airport Stn via Buckley Rd","0"," 169  1","1316889"
"169","SU","115547779","40th & Airport Stn via Buckley Rd","0"," 169  1","1316889"
"169","SU","115547796","Arapahoe Crossing via Buckley Rd","1"," 169  1","1316891"
"19","SA","115548151","106th & Melody","0","  19  3","1316902"
"19","SA","115548164","Civic Center Station","1","  19  4","1316906"
"19","SA","115548161","Civic Center Station","1","  19  3","1316909"
"19","SA","115548169","Civic Center Station","1","  19  3","1316909"
"19","SU","115548192","106th & Melody","0","  19  1","1316902"
"19","SU","115548187","106th & Melody","0","  19  1","1316902"
"19","SU","115548202","Civic Center Station","1","  19  1","1316909"
"19","WK","115548256","Civic Center Station","1","  19  4","1316907"
"19","WK","115548263","Civic Center Station","1","  19  6","1316907"
"204","SA","115564359","Front Range/Broadway","0"," 204  1","1317915"
"204","SA","115564364","Front Range/Broadway","0"," 204  2","1317915"
"204","SU","115564394","Front Range/Broadway","0"," 204  1","1317915"
"204","SU","115564390","Front Range/Broadway","0"," 204  1","1317915"
"204","SU","115564407","Downtown Boulder Station","1"," 204  1","1317921"
"204","SU","115564406","Downtown Boulder Station","1"," 204  1","1317921"
"204","WK","115564455","Table Mesa/Broadway","1"," 204  2","1317920"
"204","WK","115564483","Table Mesa/Broadway","1"," 204  6","1317920"
"205","SA","115564498","Gnprk/Lookout","0"," 205  3","1317922"
"205","SA","115564523","Dtwn Boulder","1"," 205  3","1317925"
"205","SA","115564544","Dtwn Boulder","1"," 205  1","1317925"
"205","SA","115564529","Dtwn Boulder","1"," 205  2","1317925"
"205","SU","115564550","Gnprk/Lookout","0"," 205  2","1317922"
"205","SU","115564567","Gnprk/Lookout","0"," 205  2","1317922"
"205","SU","115564555","Gnprk/Lookout","0"," 205  3","1317922"
"205","SU","115564574","Dtwn Boulder","1"," 205  1","1317925"
"205","SU","115564569","Dtwn Boulder","1"," 205  1","1317925"
"205","SU","115564577","Dtwn Boulder","1"," 205  2","1317925"
"205","SU","115564589","Dtwn Boulder","1"," 205  3","1317925"
"205","WK","115564603","Gnprk/Lookout","0"," 205  3","1317922"
"205","WK","115564609","Gnprk/Lookout","0"," 205  3","1317922"
"205","WK","115564619","Gnprk/Lookout","0"," 205  4","1317922"
"205","WK","115564593","Gnprk/Lookout","0"," 205  4","1317922"
"205","WK","115564608","Gnprk/Lookout","0"," 205  4","1317922"
"205","WK","115564604","Gnprk/Lookout","0"," 205  5","1317922"
"205","WK","115564618","Gnprk/Lookout","0"," 205  5","1317922"
"205","WK","115564651","Dtwn Boulder","1"," 205  3","1317924"
"205","WK","115564645","Dtwn Boulder","1"," 205  3","1317925"
"205","WK","115564622","Dtwn Boulder","1"," 205  3","1317925"
"205","WK","115564631","Dtwn Boulder","1"," 205  3","1317925"
"205","WK","115564643","Dtwn Boulder","1"," 205  4","1317925"
"205","WK","115564647","Dtwn Boulder","1"," 205  4","1317925"
"205","WK","115564644","Dtwn Boulder","1"," 205  5","1317925"
"205","WK","115564633","Dtwn Boulder","1"," 205  6","1317925"
"208","SA","115564695","55th/Western","0"," 204  1","1317928"
"208","SA","115564696","55th/Western","0"," 204  3","1317928"
"208","WK","115564723","55th/Western","0"," 206 22","1317928"
"208","WK","115564725","Dtwn Boulder","1"," 206 22","1317930"
"21","SA","115567959","Aurora Metro Cntr via Evans","0","  21  1","1318248"
"21","SA","115567937","Aurora Metro Cntr via Evans","0","  21  1","1318249"
"21","SA","115567956","Aurora Metro Cntr via Evans","0","  21  1","1318249"
"21","SA","115567952","Aurora Metro Cntr via Evans","0","  21  2","1318248"
"21","SA","115567947","Aurora Metro Cntr via Evans","0","  21  3","1318249"
"21","SA","115567940","Aurora Metro Cntr via Evans","0","  21  3","1318249"
"21","SA","115567935","Aurora Metro Cntr via Evans","0","  21  4","1318249"
"21","SA","115567957","Aurora Metro Cntr via Evans","0","  21  5","1318249"
"21","SA","115567927","Aurora Metro Cntr via Evans","0","  21  5","1318249"
"21","SA","115567929","Aurora Metro Cntr via Evans","0","  21  7","1318249"
"21","SA","115567967","Kipling","1","  21  1","1318258"
"21","SA","115567973","Kipling","1","  21  1","1318258"
"21","SA","115567964","Kipling","1","  21  2","1318258"
"21","SA","115567983","Kipling","1","  21  3","1318258"
"21","SA","115567980","Kipling","1","  21  3","1318258"
"21","SA","115567965","Kipling","1","  21  6","1318258"
"21","SU","115568010","Aurora Metro Cntr via Evans","0","  21  2","1318249"
"21","SU","115568002","Aurora Metro Cntr via Evans","0","  21  3","1318249"
"21","SU","115568020","Aurora Metro Cntr via Evans","0","  21  3","1318249"
"21","SU","115568031","Evans Station","1","  21  5","1318254"
"21","SU","115568055","Evans Station","1","  21  5","1318254"
"21","SU","115568026","Evans Station","1","  21  1","1318254"
"21","SU","115568037","Kipling","1","  21  1","1318258"
"21","SU","115568053","Evans Station","1","  21  2","1318254"
"21","SU","115568052","Evans Station","1","  21  4","1318254"
"21","SU","115568028","Evans Station","1","  21  4","1318254"
"21","WK","115568084","Aurora Metro Cntr via Evans","0","  21  6","1318248"
"21","WK","115568076","Aurora Metro Cntr via Evans","0","  21  1","1318249"
"21","WK","115568090","Aurora Metro Cntr via Evans","0","  21  2","1318249"
"21","WK","115568062","Aurora Metro Cntr via Evans","0","  21  2","1318249"
"21","WK","115568126","Kipling","1","  21  4","1318258"
"21","WK","115568117","Kipling","1","  21  5","1318258"
"21","WK","115568094","Evans Station","1","  21  6","1318254"
"21","WK","115568125","Kipling","1","  21  6","1318258"
"21","WK","115568102","Kipling","1","  21  2","1318258"
"21","WK","115568101","Kipling","1","  21  3","1318258"
"225D","SA","115564784","Dtwn Bldr 225D Dmd Circle","1"," 225  3","1317939"
"225","SA","115564777","Dtwn Boulder","1"," 225  1","1317936"
"225","SA","115564771","Dtwn Boulder","1"," 225  1","1317936"
"225","SA","115564772","Dtwn Boulder","1"," 225  2","1317936"
"225D","SA","115564792","Dtwn Bldr 225D Dmd Circle","1"," 225  3","1317939"
"225","SU","115564802","Lafayette PnR","0"," 225  1","1317932"
"225","SU","115564805","Lafayette PnR","0"," 225  6","1317932"
"225","SU","115564797","Lafayette PnR","0"," 225  6","1317932"
"225","SU","115564837","Dtwn Boulder","1"," 225  1","1317936"
"225","SU","115564820","Dtwn Boulder","1","JUMP  4","1317936"
"225","SU","115564832","Dtwn Boulder","1"," 225  6","1317936"
"225","SU","115564828","Dtwn Boulder","1"," 225  6","1317936"
"225D","WK","115564856","Diamond Cir  Willoughby","0"," 225  2","1317934"
"225T","WK","115564879","S Boulder Rd Willoughby","0"," 225  3","1317935"
"225D","WK","115564849","Diamond Cir  Willoughby","0"," 225  3","1317934"
"225D","WK","115564872","Diamond Cir  Willoughby","0"," 225  3","1317934"
"225D","WK","115564858","Diamond Cir  Willoughby","0"," 225  3","1317934"
"225","WK","115564839","Lafayette PnR","0"," 225  3","1317932"
"225D","WK","115564880","Diamond Cir  Willoughby","0"," 225  1","1317934"
"225D","WK","115564855","Diamond Cir  Willoughby","0"," 225  4","1317934"
"225","WK","115564909","Dtwn Boulder","1"," 225  1","1317936"
"225D","WK","115564904","Dtwn Bldr 225D Dmd Circle","1"," 225  4","1317939"
"228A","SA","115549159","Aspen Rdg/Black Dmnd","0"," 228  1","1316958"
"228A","SA","115549154","Aspen Rdg/Black Dmnd","0"," 228  2","1316958"
"228A","SA","115549179","US36 & Flatiron Station","1"," 228  1","1316960"
"228A","SA","115549175","US36 & Flatiron Station","1"," 228  1","1316960"
"228A","SA","115549170","US36 & Flatiron Station","1"," 228  2","1316960"
"228A","SU","115549190","Aspen Rdg/Black Dmnd","0"," 228  2","1316958"
"228A","SU","115549186","Aspen Rdg/Black Dmnd","0"," 228  2","1316958"
"228A","SU","115549180","Aspen Rdg/Black Dmnd","0"," 228  2","1316958"
"228A","SU","115549199","US36 & Flatiron Station","1"," 228  1","1316960"
"228F","WK","115549219","Forest Prk/Arapahoe","0"," 228  2","1316957"
"228F","WK","115549211","Forest Prk/Arapahoe","0"," 228  2","1316957"
"228A","WK","115549207","Aspen Rdg/Black Dmnd","0"," 228  2","1316958"
"228A","WK","115549228","US36 & Flatiron Station","1"," 228  2","1316960"
"228F","WK","115549234","US36 & Flatiron Station","1"," 228  1","1316959"
"24","SA","115549247","40th & Colorado Stn via University","0","  24  2","1316962"
"24","SA","115549263","C-470 Univ Park-n-Ride","1","  24  2","1316964"
"24","SU","115549284","C-470 Univ Park-n-Ride","1","  24  3","1316964"
"24","SU","115549288","C-470 Univ Park-n-Ride","1","  24  1","1316964"
"24","WK","115549315","C-470 Univ Park-n-Ride","1","  24  2","1316964"
"24","WK","115549321","C-470 Univ Park-n-Ride","1","  24  2","1316964"
"3","SA","115549559","Alameda Stn","0","   3  5","1316984"
"3","SA","115549561","Lincoln St","0","   3  5","1316985"
"3","SA","115549546","Lincoln St","0","   3  2","1316979"
"3","SA","115549597","Federal Center","1","   3  2","1316991"
"3","SA","115549592","Federal Center","1","   3  4","1316991"
"3","SA","115549598","Federal Center","1","   3  4","1316988"
"3","SA","115549607","Federal Center","1","   3  4","1316988"
"3","SU","115549620","Aurora Metro Cntr via Alameda","0","   3  3","1316980"
"3","SU","115549649","Alameda Stn","0","   3  5","1316984"
"3","SU","115549641","Lincoln St","0","   3  6","1316985"
"3","SU","115549667","Federal Center","1","   3  1","1316991"
"3","SU","115549671","Federal Center","1","   3  3","1316991"
"3","SU","115549665","Federal Center","1","   3  6","1316991"
"3","SU","115549660","Federal Center","1","   3 44","1316988"
"3","WK","115549697","Alameda Stn","0","   3  3","1316984"
"3","WK","115549709","Alameda Stn","0","   3  4","1316984"
"3","WK","115549713","Alameda Stn","0","   3  4","1316984"
"3","WK","115549723","Aurora Metro Cntr via Alameda","0","   3  4","1316982"
"3","WK","115549700","Aurora Metro Cntr via Alameda","0","   3  5","1316980"
"3","WK","115549703","Lincoln St","0","   3  5","1316985"
"3","WK","115549694","Lincoln St","0","   3  6","1316985"
"3","WK","115549695","Aurora Metro Cntr via Alameda","0","   3  6","1316982"
"3","WK","115549705","Lincoln St","0","   3  6","1316985"
"3","WK","115549752","Federal Center","1","   3  3","1316988"
"3","WK","115549745","Federal Center","1","   3  4","1316988"
"3","WK","115549748","Federal Center","1","   3  4","1316988"
"30","SA","115570054","Decatur Station","0","  30  1","1318350"
"30","SA","115570051","Decatur Station","0","  30  2","1318350"
"30","SA","115570021","Decatur Station","0","  30  4","1318350"
"30","SA","115570034","Decatur Station","0","  30  7","1318350"
"30","SA","115570103","Littleton Stn","1","  30  1","1318353"
"30","SA","115570061","Littleton Stn","1","  30  3","1318353"
"30","SA","115570102","Littleton Stn","1","  30  3","1318353"
"30","SA","115570112","Littleton Stn","1","  30  4","1318353"
"30","SA","115570091","Littleton Stn","1","  30  4","1318353"
"30","SA","115570078","Littleton Stn","1","  30  5","1318353"
"30","SA","115570114","Littleton Stn","1","  30  6","1318353"
"30","SA","115570101","Littleton Stn","1","  30  6","1318353"
"30","SA","115570073","Littleton Stn","1","  30  6","1318353"
"30","SA","115570097","Littleton Stn","1","  30  7","1318353"
"30","SU","115570135","Decatur Station","0","  30  3","1318350"
"30","SU","115570145","Decatur Station","0","  30  4","1318350"
"30","SU","115570134","Decatur Station","0","  30  5","1318350"
"30","SU","115570130","Decatur Station","0","  30  6","1318350"
"30","SU","115570118","Decatur Station","0","  30  1","1318350"
"30","SU","115570198","Littleton Stn","1","  30  4","1318353"
"30","SU","115570225","Littleton Stn","1","  30  6","1318353"
"30","SU","115570204","Littleton Stn","1","  30  6","1318353"
"30","SU","115570190","Littleton Stn","1","  30  6","1318353"
"30","SU","115570182","Littleton Stn","1","  30  6","1318353"
"30","SU","115570228","Littleton Stn","1","  30  7","1318353"
"30","SU","115570221","Littleton Stn","1","  30  7","1318353"
"30","SU","115570183","Littleton Stn","1","  30  7","1318353"
"30","SU","115570227","Littleton Stn","1","  30  1","1318353"
"30","WK","115570279","Decatur Station","0","  30  1","1318350"
"30","WK","115570241","Decatur Station","0","  30  6","1318350"
"30","WK","115570261","Decatur Station","0","  30  2","1318350"
"30","WK","115570291","Decatur Station","0","  30  3","1318350"
"30","WK","115570256","Decatur Station","0","  30  3","1318350"
"30","WK","115570242","Decatur Station","0","  30  4","1318350"
"30","WK","115570253","Decatur Station","0","  30  4","1318350"
"30","WK","115570236","Decatur Station","0","  30  5","1318350"
"30","WK","115570359","Littleton Stn","1","  30  1","1318353"
"30","WK","115570327","Littleton Stn","1","  30  1","1318353"
"30","WK","115570338","Littleton Stn","1","  30  7","1318353"
"30","WK","115570310","Littleton Stn","1","  30  7","1318353"
"30","WK","115570316","Littleton Stn","1","  30  2","1318353"
"30","WK","115570315","Littleton Stn","1","  30  4","1318353"
"30","WK","115570322","Littleton Stn","1","  30  4","1318353"
"31","SA","115567289","Westminster Stn / 71st Ave","0","  31  7","1318216"
"31","SA","115567279","Westminster Stn / 71st Ave","0","  31  8","1318216"
"31","SA","115567318","Front Range Community College","0","  31  3","1318215"
"31","SA","115567345","Evans","1","  31  3","1318221"
"31","SA","115567411","Evans","1","  31  4","1318219"
"31","SA","115567365","Evans","1","  31  4","1318219"
"31","SA","115567360","Evans","1","  31  5","1318220"
"31","SA","115567390","Evans","1","  31  7","1318221"
"31","SA","115567378","Evans","1","  31  8","1318219"
"31","SA","115567403","Evans","1","  31  1","1318219"
"31","SA","115567396","Evans","1","  31  2","1318220"
"31","SU","115567437","Westminster Stn / 71st Ave","0","  31  3","1318216"
"31","SU","115567450","106th&Melody","0","  31  3","1318217"
"31","SU","115567423","Westminster Stn / 71st Ave","0","  31  4","1318216"
