"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"115704548","15:26:00","15:26:00","34668","1",,"0","1",,"1"
"115704548","15:34:00","15:34:00","35247","2",,"0","0",,"1"
"115704548","15:40:30","15:40:30","35249","3",,"0","0",,"1"
"115704548","15:44:30","15:44:30","35251","4",,"0","0",,"1"
"115704548","15:48:15","15:48:15","35253","5",,"0","0",,"1"
"115704548","15:51:45","15:51:45","35255","6",,"0","0",,"1"
"115704548","15:56:45","15:56:45","35257","7",,"1","0",,"1"
"115704569","06:56:00","06:56:00","34668","1",,"0","1",,"1"
"115704569","07:04:00","07:04:00","35247","2",,"0","0",,"1"
"115704569","07:10:30","07:10:30","35249","3",,"0","0",,"1"
"115704569","07:14:30","07:14:30","35251","4",,"0","0",,"1"
"115704569","07:18:15","07:18:15","35253","5",,"0","0",,"1"
"115704569","07:21:45","07:21:45","35255","6",,"0","0",,"1"
"115704569","07:26:45","07:26:45","35257","7",,"1","0",,"1"
"115704570","07:26:00","07:26:00","34668","1",,"0","1",,"1"
"115704570","07:34:00","07:34:00","35247","2",,"0","0",,"1"
"115704570","07:40:30","07:40:30","35249","3",,"0","0",,"1"
"115704570","07:44:30","07:44:30","35251","4",,"0","0",,"1"
"115704570","07:48:15","07:48:15","35253","5",,"0","0",,"1"
"115704570","07:51:45","07:51:45","35255","6",,"0","0",,"1"
"115704570","07:56:45","07:56:45","35257","7",,"1","0",,"1"
"115704559","16:26:00","16:26:00","34668","1",,"0","1",,"1"
"115704559","16:34:00","16:34:00","35247","2",,"0","0",,"1"
"115704559","16:40:30","16:40:30","35249","3",,"0","0",,"1"
"115704559","16:44:30","16:44:30","35251","4",,"0","0",,"1"
"115704559","16:48:15","16:48:15","35253","5",,"0","0",,"1"
"115704559","16:51:45","16:51:45","35255","6",,"0","0",,"1"
"115704559","16:56:45","16:56:45","35257","7",,"1","0",,"1"
"115704611","19:13:00","19:13:00","35257","1",,"0","1",,"1"
"115704611","19:16:15","19:16:15","35254","2",,"0","0",,"1"
"115704611","19:19:45","19:19:45","35252","3",,"0","0",,"1"
"115704611","19:23:15","19:23:15","35250","4",,"0","0",,"1"
"115704611","19:27:00","19:27:00","35248","5",,"0","0",,"1"
"115704611","19:34:00","19:34:00","35246","6",,"0","0",,"1"
"115704611","19:42:00","19:42:00","34668","7",,"1","0",,"1"
"115704610","18:43:00","18:43:00","35257","1",,"0","1",,"1"
"115704610","18:46:15","18:46:15","35254","2",,"0","0",,"1"
"115704610","18:49:45","18:49:45","35252","3",,"0","0",,"1"
"115704610","18:53:15","18:53:15","35250","4",,"0","0",,"1"
"115704610","18:57:00","18:57:00","35248","5",,"0","0",,"1"
"115704610","19:04:00","19:04:00","35246","6",,"0","0",,"1"
"115704610","19:12:00","19:12:00","34668","7",,"1","0",,"1"
"115704613","20:13:00","20:13:00","35257","1",,"0","1",,"1"
"115704613","20:16:15","20:16:15","35254","2",,"0","0",,"1"
"115704613","20:19:45","20:19:45","35252","3",,"0","0",,"1"
"115704613","20:23:15","20:23:15","35250","4",,"0","0",,"1"
"115704613","20:27:00","20:27:00","35248","5",,"0","0",,"1"
"115704613","20:34:00","20:34:00","35246","6",,"0","0",,"1"
"115704613","20:42:00","20:42:00","34668","7",,"1","0",,"1"
"115704633","09:26:00","09:26:00","34668","1",,"0","1",,"1"
"115704633","09:34:00","09:34:00","35247","2",,"0","0",,"1"
"115704633","09:40:30","09:40:30","35249","3",,"0","0",,"1"
"115704633","09:44:30","09:44:30","35251","4",,"0","0",,"1"
"115704633","09:48:15","09:48:15","35253","5",,"0","0",,"1"
"115704633","09:51:45","09:51:45","35255","6",,"0","0",,"1"
"115704633","09:56:45","09:56:45","35257","7",,"1","0",,"1"
"115704631","08:26:00","08:26:00","34668","1",,"0","1",,"1"
"115704631","08:34:00","08:34:00","35247","2",,"0","0",,"1"
"115704631","08:40:30","08:40:30","35249","3",,"0","0",,"1"
"115704631","08:44:30","08:44:30","35251","4",,"0","0",,"1"
"115704631","08:48:15","08:48:15","35253","5",,"0","0",,"1"
"115704631","08:51:45","08:51:45","35255","6",,"0","0",,"1"
"115704631","08:56:45","08:56:45","35257","7",,"1","0",,"1"
"115704686","16:13:00","16:13:00","35257","1",,"0","1",,"1"
"115704686","16:16:15","16:16:15","35254","2",,"0","0",,"1"
"115704686","16:19:45","16:19:45","35252","3",,"0","0",,"1"
"115704686","16:23:15","16:23:15","35250","4",,"0","0",,"1"
"115704686","16:27:00","16:27:00","35248","5",,"0","0",,"1"
"115704686","16:34:00","16:34:00","35246","6",,"0","0",,"1"
"115704686","16:42:00","16:42:00","34668","7",,"1","0",,"1"
"115704670","07:43:00","07:43:00","35257","1",,"0","1",,"1"
"115704670","07:46:15","07:46:15","35254","2",,"0","0",,"1"
"115704670","07:49:45","07:49:45","35252","3",,"0","0",,"1"
"115704670","07:53:15","07:53:15","35250","4",,"0","0",,"1"
"115704670","07:57:00","07:57:00","35248","5",,"0","0",,"1"
"115704670","08:04:00","08:04:00","35246","6",,"0","0",,"1"
"115704670","08:12:00","08:12:00","34668","7",,"1","0",,"1"
"115704696","15:13:00","15:13:00","35257","1",,"0","1",,"1"
"115704696","15:16:15","15:16:15","35254","2",,"0","0",,"1"
"115704696","15:19:45","15:19:45","35252","3",,"0","0",,"1"
"115704696","15:23:15","15:23:15","35250","4",,"0","0",,"1"
"115704696","15:27:00","15:27:00","35248","5",,"0","0",,"1"
"115704696","15:34:00","15:34:00","35246","6",,"0","0",,"1"
"115704696","15:42:00","15:42:00","34668","7",,"1","0",,"1"
"115704688","17:13:00","17:13:00","35257","1",,"0","1",,"1"
"115704688","17:16:15","17:16:15","35254","2",,"0","0",,"1"
"115704688","17:19:45","17:19:45","35252","3",,"0","0",,"1"
"115704688","17:23:15","17:23:15","35250","4",,"0","0",,"1"
"115704688","17:27:00","17:27:00","35248","5",,"0","0",,"1"
"115704688","17:34:00","17:34:00","35246","6",,"0","0",,"1"
"115704688","17:42:00","17:42:00","34668","7",,"1","0",,"1"
"115704467","05:56:00","05:56:00","34668","1",,"0","1",,"1"
"115704467","06:04:00","06:04:00","35247","2",,"0","0",,"1"
"115704467","06:10:30","06:10:30","35249","3",,"0","0",,"1"
"115704467","06:14:30","06:14:30","35251","4",,"0","0",,"1"
"115704467","06:18:15","06:18:15","35253","5",,"0","0",,"1"
"115704467","06:21:45","06:21:45","35255","6",,"0","0",,"1"
"115704467","06:26:45","06:26:45","35257","7",,"1","0",,"1"
"115704473","08:56:00","08:56:00","34668","1",,"0","1",,"1"
"115704473","09:04:00","09:04:00","35247","2",,"0","0",,"1"
"115704473","09:10:30","09:10:30","35249","3",,"0","0",,"1"
"115704473","09:14:30","09:14:30","35251","4",,"0","0",,"1"
"115704473","09:18:15","09:18:15","35253","5",,"0","0",,"1"
"115704473","09:21:45","09:21:45","35255","6",,"0","0",,"1"
"115704473","09:26:45","09:26:45","35257","7",,"1","0",,"1"
"115704491","17:56:00","17:56:00","34668","1",,"0","1",,"1"
"115704491","18:04:00","18:04:00","35247","2",,"0","0",,"1"
"115704491","18:10:30","18:10:30","35249","3",,"0","0",,"1"
"115704491","18:14:30","18:14:30","35251","4",,"0","0",,"1"
"115704491","18:18:15","18:18:15","35253","5",,"0","0",,"1"
"115704491","18:21:45","18:21:45","35255","6",,"0","0",,"1"
"115704491","18:26:45","18:26:45","35257","7",,"1","0",,"1"
"115704469","06:56:00","06:56:00","34668","1",,"0","1",,"1"
"115704469","07:04:00","07:04:00","35247","2",,"0","0",,"1"
"115704469","07:10:30","07:10:30","35249","3",,"0","0",,"1"
"115704469","07:14:30","07:14:30","35251","4",,"0","0",,"1"
"115704469","07:18:15","07:18:15","35253","5",,"0","0",,"1"
"115704469","07:21:45","07:21:45","35255","6",,"0","0",,"1"
"115704469","07:26:45","07:26:45","35257","7",,"1","0",,"1"
"115704506","12:13:00","12:13:00","35257","1",,"0","1",,"1"
"115704506","12:16:15","12:16:15","35254","2",,"0","0",,"1"
"115704506","12:19:45","12:19:45","35252","3",,"0","0",,"1"
"115704506","12:23:15","12:23:15","35250","4",,"0","0",,"1"
"115704506","12:27:00","12:27:00","35248","5",,"0","0",,"1"
"115704506","12:34:00","12:34:00","35246","6",,"0","0",,"1"
"115704506","12:42:00","12:42:00","34668","7",,"1","0",,"1"
"115704509","13:43:00","13:43:00","35257","1",,"0","1",,"1"
"115704509","13:46:15","13:46:15","35254","2",,"0","0",,"1"
"115704509","13:49:45","13:49:45","35252","3",,"0","0",,"1"
"115704509","13:53:15","13:53:15","35250","4",,"0","0",,"1"
"115704509","13:57:00","13:57:00","35248","5",,"0","0",,"1"
"115704509","14:04:00","14:04:00","35246","6",,"0","0",,"1"
"115704509","14:12:00","14:12:00","34668","7",,"1","0",,"1"
"115704524","21:13:00","21:13:00","35257","1",,"0","1",,"1"
"115704524","21:16:15","21:16:15","35254","2",,"0","0",,"1"
"115704524","21:19:45","21:19:45","35252","3",,"0","0",,"1"
