"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
"117N","SA","115704574","124th - Eastlake","0"," 117  1","1325540"
"117N","SA","115704560","124th - Eastlake","0"," 117  1","1325540"
"117N","SA","115704569","124th - Eastlake","0"," 117  2","1325540"
"117N","SA","115704578","124th - Eastlake","0"," 117  2","1325540"
"117N","SA","115704579","124th - Eastlake","0"," 117  3","1325540"
"117N","SA","115704547","124th - Eastlake","0"," 117  3","1325540"
"117N","SA","115704583","Union Station","1"," 117  1","1325546"
"117N","SA","115704594","Union Station","1"," 117  2","1325546"
"117N","SA","115704595","Union Station","1"," 117  3","1325546"
"117N","SA","115704598","Union Station","1"," 117  3","1325546"
"117N","SA","115704604","Union Station","1"," 117  3","1325546"
"117N","SU","115704651","124th - Eastlake","0"," 117  1","1325540"
"117N","SU","115704672","Union Station","1"," 117  1","1325546"
"117N","SU","115704667","Union Station","1"," 117  2","1325546"
"117N","SU","115704670","Union Station","1"," 117  2","1325546"
"117N","SU","115704674","Union Station","1"," 117  3","1325546"
"117N","SU","115704683","Union Station","1"," 117  3","1325546"
"117N","MT","115704495","124th - Eastlake","0"," 117  2","1325540"
"117N","MT","115704459","124th - Eastlake","0"," 117  2","1325540"
"117N","MT","115704489","124th - Eastlake","0"," 117  3","1325540"
"117N","MT","115704492","124th - Eastlake","0"," 117  3","1325540"
"117N","MT","115704503","Union Station","1"," 117  1","1325546"
"117N","MT","115704524","Union Station","1"," 117  1","1325546"
"117N","MT","115704537","Union Station","1"," 117  2","1325546"
"117N","MT","115704517","Union Station","1"," 117  3","1325546"
"117N","FR","115704392","124th - Eastlake","0"," 117  3","1325540"
"117N","FR","115704401","124th - Eastlake","0"," 117  3","1325540"
"117N","FR","115704396","124th - Eastlake","0"," 117  1","1325540"
"117N","FR","115704408","124th - Eastlake","0"," 117  1","1325540"
"117N","FR","115704380","124th - Eastlake","0"," 117  3","1325540"
"117N","FR","115704399","124th - Eastlake","0"," 117  2","1325540"
"117N","FR","115704432","Union Station","1"," 117  2","1325546"
"117N","FR","115704446","Union Station","1"," 117  2","1325546"
"117N","FR","115704424","Union Station","1"," 117  3","1325546"
"117N","FR","115704419","Union Station","1"," 117  1","1325546"
"117N","FR","115704428","Union Station","1"," 117  1","1325546"
"117N","FR","115704434","Union Station","1"," 117  1","1325546"
"117N","FR","115704437","Union Station","1"," 117  1","1325546"
"117N","SA","115704575","124th - Eastlake","0"," 117  2","1325540"
"117N","SA","115704558","124th - Eastlake","0"," 117  2","1325540"
"117N","SA","115704549","124th - Eastlake","0"," 117  3","1325540"
"117N","SA","115704611","Union Station","1"," 117  1","1325546"
"117N","SA","115704614","Union Station","1"," 117  1","1325546"
"117N","SA","115704588","Union Station","1"," 117  2","1325546"
"117N","SA","115704600","Union Station","1"," 117  2","1325546"
"117N","SA","115704603","Union Station","1"," 117  2","1325546"
"117N","SA","115704607","Union Station","1"," 117  2","1325546"
"117N","SA","115704613","Union Station","1"," 117  3","1325546"
"117N","SA","115704619","Union Station","1"," 117  3","1325546"
"117N","SU","115704628","124th - Eastlake","0"," 117  2","1325540"
"117N","SU","115704634","124th - Eastlake","0"," 117  2","1325540"
"117N","SU","115704637","124th - Eastlake","0"," 117  2","1325540"
"117N","SU","115704655","124th - Eastlake","0"," 117  2","1325540"
"117N","SU","115704632","124th - Eastlake","0"," 117  3","1325540"
"117N","SU","115704644","124th - Eastlake","0"," 117  3","1325540"
"117N","SU","115704666","Union Station","1"," 117  1","1325546"
"117N","SU","115704686","Union Station","1"," 117  1","1325546"
"117N","SU","115704676","Union Station","1"," 117  2","1325546"
"117N","SU","115704685","Union Station","1"," 117  3","1325546"
"117N","SU","115704688","Union Station","1"," 117  3","1325546"
"117N","MT","115704484","124th - Eastlake","0"," 117  1","1325540"
"117N","MT","115704493","124th - Eastlake","0"," 117  1","1325540"
"117N","MT","115704470","124th - Eastlake","0"," 117  2","1325540"
"117N","MT","115704456","124th - Eastlake","0"," 117  2","1325540"
"117N","MT","115704460","124th - Eastlake","0"," 117  3","1325540"
"117N","MT","115704518","Union Station","1"," 117  1","1325546"
"117N","MT","115704507","Union Station","1"," 117  2","1325546"
"117N","MT","115704510","Union Station","1"," 117  2","1325546"
"117N","MT","115704513","Union Station","1"," 117  3","1325546"
"117N","FR","115704390","124th - Eastlake","0"," 117  1","1325540"
"117N","FR","115704402","124th - Eastlake","0"," 117  1","1325540"
"117N","FR","115704371","124th - Eastlake","0"," 117  3","1325540"
"117N","FR","115704441","Union Station","1"," 117  2","1325546"
"117N","FR","115704416","Union Station","1"," 117  1","1325546"
"117N","FR","115704430","Union Station","1"," 117  3","1325546"
"117N","FR","115704433","Union Station","1"," 117  3","1325546"
"117N","SA","115704553","124th - Eastlake","0"," 117  1","1325540"
"117N","SA","115704543","124th - Eastlake","0"," 117  2","1325540"
"117N","SA","115704557","124th - Eastlake","0"," 117  2","1325540"
"117N","SA","115704570","124th - Eastlake","0"," 117  3","1325540"
"117N","SA","115704573","124th - Eastlake","0"," 117  3","1325540"
"117N","SA","115704559","124th - Eastlake","0"," 117  3","1325540"
"117N","SA","115704552","124th - Eastlake","0"," 117  3","1325540"
"117N","SA","115704586","Union Station","1"," 117  1","1325546"
"117N","SA","115704590","Union Station","1"," 117  1","1325546"
"117N","SA","115704608","Union Station","1"," 117  1","1325546"
"117N","SA","115704597","Union Station","1"," 117  2","1325546"
"117N","SA","115704615","Union Station","1"," 117  2","1325546"
"117N","SU","115704650","124th - Eastlake","0"," 117  3","1325540"
"117N","SU","115704659","124th - Eastlake","0"," 117  3","1325540"
"117N","SU","115704661","Union Station","1"," 117  2","1325546"
"117N","SU","115704671","Union Station","1"," 117  3","1325546"
"117N","SU","115704662","Union Station","1"," 117  3","1325546"
