"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"0L","RTD","0L","South Broadway Limited","This Route Travels Northbound & Southbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"10","RTD","10","East 12th Avenue","This Route Travels Eastbound & Westbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"28","RTD","28","28th Avenue","This Route Travels Eastbound & Westbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"59","RTD","59","West Bowles","This Route Travels Eastbound & Westbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"65","RTD","65","Monaco Parkway","This Route Travels Northbound & Southbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"EV","RTD","EV","Evergreen / Denver","This Route Travels Eastbound & Westbound","3","http://www.rtd-denver.com/Schedules.shtml","64A70B","FFFFFF"
"LX2","RTD","LX2","Longmont I-25 Express","This Route Travels Northbound & Southbound","3","http://www.rtd-denver.com/Schedules.shtml","64A70B","FFFFFF"
"105","RTD","105","Havana Street","This Route Travels Northbound & Southbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"12","RTD","12","South Downing","This Route Travels Northbound & Southbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"130","RTD","130","Yale / Buckley","This Route Travels Northbound & Southbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"17","RTD","17","Golden/Colfax","This Route Travels Eastbound & Westbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"19","RTD","19","North Pecos ","This Route Travels Northbound & Southbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"7","RTD","7","North Washington","This Route Travels Northbound & Southbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"206","RTD","206","Conestoga/ Arapahoe / Fairview H.S.","This Route Travels Northbound & Southbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"208","RTD","208","Iris / Valmont","This Route Travels Eastbound & Westbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"JUMP","RTD","JUMP","Boulder / Lafayette/ Erie","This Route Travels Eastbound & Westbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"GS","RTD","GS","Golden / Boulder","This Route Travels Northbound & Southbound","3","http://www.rtd-denver.com/Schedules.shtml","64A70B","FFFFFF"
"AB1","RTD","AB1","Boulder / Denver Airport","This Route Travels Eastbound & Westbound","3","http://www.rtd-denver.com/Schedules.shtml","57C1E9","FFFFFF"
"AB3","RTD","AB3","Boulder / Denver Airport","This Route Travels Eastbound & Westbound","3","http://www.rtd-denver.com/Schedules.shtml","57C1E9","FFFFFF"
"ATA","RTD","ATA","Arapahoe County / Denver Airport","This Route Travels Northbound & Southbound","3","http://www.rtd-denver.com/Schedules.shtml","57C1E9","FFFFFF"
"FF1","RTD","FF1","Flatiron Flyer","This Route Travels Eastbound & Westbound","3","http://www.rtd-denver.com/Schedules.shtml","1E4286","FFFFFF"
"FF5","RTD","FF5","Flatiron Flyer","This Route Travels Eastbound & Westbound","3","http://www.rtd-denver.com/Schedules.shtml","1E4286","FFFFFF"
"0","RTD","0","Broadway","This Route Travels Northbound & Southbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
