"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"24947","24947","Ridgeline Blvd & Highlands Ranch Pkwy","Vehicles Travelling South","39.548417","-104.996231",,,"0",,,"1"
"16814","16814","University Blvd & Cherry Creek North Dr","Vehicles Travelling North","39.716948","-104.958987",,,"0",,,"1"
"14150","14150","Hampden Ave & S Forest St","Vehicles Travelling East","39.652957","-104.927026",,,"0",,,"1"
"16378","16378","S Sable Blvd & Alameda Ave","Vehicles Travelling South","39.710659","-104.819475",,,"0",,,"1"
"33851","33851","Wadsworth / Hampden","Vehicles Travelling North","39.650897","-105.082726",,,"1",,,"0"
"34508","34508","Pecos Junction Station","Vehicles Travelling North","39.805421","-105.003505",,,"1",,,"0"
"17936","17936","CO 93 & Pine Ridge Rd","Vehicles Travelling Northeast","39.777494","-105.232423",,,"0",,,"1"
"23932","23932","Old Wadsworth Bl & W 53rd Ave","Vehicles Travelling Northwest","39.794733","-105.081362",,,"0",,,"1"
"15936","15936","S Peoria St & Iliff Ave","Vehicles Travelling South","39.67444","-104.847414",,,"0",,,"1"
"16569","16569","S Sheridan Blvd & W Louisiana Ave","Vehicles Travelling South","39.692492","-105.053354",,,"0",,,"1"
"33719","33719","Nine Mile Station","Vehicles Travelling North","39.658414","-104.845517",,,"1",,,"0"
"17184","17184","6000 Block Washington St","Vehicles Travelling South","39.804701","-104.978155",,,"0",,,"1"
"25372","25372","Colfax Ave & Zeno St","Vehicles Travelling East","39.740015","-104.773573",,,"0",,,"1"
"22038","22038","Caley Ave & S Boston St","Vehicles Travelling West","39.602403","-104.881184",,,"0",,,"1"
"10170","10170","12th Ave & Humboldt St","Vehicles Travelling East","39.735125","-104.968576",,,"0",,,"1"
"12940","12940","Colfax Ave & Norfolk St","Vehicles Travelling West","39.740331","-104.796513",,,"0",,,"1"
"10496","10496","W 20th Ave & Allison St","Vehicles Travelling East","39.747485","-105.086357",,,"0",,,"1"
"11143","11143","W 44th Ave & Hooker St","Vehicles Travelling East","39.776604","-105.028464",,,"0",,,"1"
"12614","12614","Broadway & Walnut St","Vehicles Travelling South","39.757605","-104.9875",,,"0",,,"1"
"24011","24011","Yale Ave & S Blackhawk St","Vehicles Travelling East","39.667493","-104.824802",,,"0",,,"1"
"10950","10950","Bruce Randolph Ave & Jackson St","Vehicles Travelling East","39.764373","-104.94295",,,"0",,,"1"
"18797","18797","Sable Blvd & Montview Blvd","Vehicles Travelling North","39.74682","-104.819342",,,"0",,,"1"
"21807","21807","CO 119 & Boulder Falls","Vehicles Travelling West","40.004529","-105.406596",,,"0",,,"1"
"34921","34921","56th Ave & Genoa St","Vehicles Travelling East","39.79823","-104.758149",,,"0",,,"1"
"17542","17542","21st Ave & Squires St","Vehicles Travelling West","40.196007","-105.108918",,,"0",,,"1"
"18791","18791","Chambers Rd & 13th Ave","Vehicles Travelling North","39.737643","-104.809884",,,"0",,,"1"
"23798","23798","US 287 & Dawson Dr","Vehicles Travelling South","40.061667","-105.102854",,,"0",,,"1"
"20643","20643","Yale Ave & S Chambers Rd","Vehicles Travelling West","39.670782","-104.810612",,,"0",,,"1"
"12223","12223","Arapahoe Ave & 63rd St","Vehicles Travelling East","40.014624","-105.206218",,,"0",,,"1"
"26370","26370","S Buckley Rd & Dorado Dr","Vehicles Travelling North","39.613393","-104.791579",,,"0",,,"1"
"35046","35046","33rd Pl & Sable Blvd","Vehicles Travelling East","39.766078","-104.818176",,,"0",,,"1"
"12976","12976","W Colfax Ave & Sheridan Blvd","Vehicles Travelling East","39.740264","-105.052817",,,"0",,,"1"
"12207","12207","Arapahoe Ave & 23rd St","Vehicles Travelling West","40.014668","-105.264403",,,"0",,,"1"
"35428","35428","W Alameda Ave & S Bannock St","Vehicles Travelling Northwest","39.71122","-104.990705",,,"0",,,"1"
