"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
"0","SA","115872749","Union Station","0","   0  1","1333808"
"0","SA","115872775","Union Station","0","   0  1","1333808"
"0","SA","115872816","Union Station","0","   0  3","1333808"
"0","SA","115872758","Union Station","0","   0  4","1333808"
"0","SA","115872763","Union Station","0","   0  5","1333808"
"0","SA","115872803","Union Station","0","   0  6","1333808"
"0","SA","115872797","Union Station","0","   0  7","1333808"
"0","SA","115872788","Union Station","0","   0  7","1333808"
"0","SA","115872784","Union Station","0","   0  8","1333808"
"0","SA","115872806","Union Station","0","   0  8","1333808"
"0","SA","115872812","Union Station","0","   0  4","1333808"
"0","SA","115872873","Englewood Station","1","   0  2","1333811"
"0","SA","115872876","Englewood Station","1","   0  2","1333811"
"0","SA","115872843","Englewood Station","1","   0  4","1333811"
"0","SA","115872851","Englewood Station","1","   0  4","1333811"
"0","SA","115872887","Englewood Station","1","   0  5","1333811"
"0","SA","115872878","Englewood Station","1","   0  6","1333811"
"0","SA","115872862","Englewood Station","1","   0  6","1333811"
"0","SA","115872896","Englewood Station","1","   0  7","1333811"
"0","SA","115872835","Englewood Station","1","   0  8","1333811"
"0","SA","115872859","Englewood Station","1","   0  4","1333811"
"0","SA","115872849","Englewood Station","1","   0  4","1333811"
"0","SU","115903527","Union Station","0","   0  1","1333808"
"0","SU","115903532","Union Station","0","   0  2","1333808"
"0","SU","115903550","Union Station","0","   0  2","1333808"
"0","SU","115903510","Union Station","0","   0  4","1333808"
"0","SU","115903511","Union Station","0","   0  5","1333808"
"0","SU","115903531","Union Station","0","   0  7","1333808"
"0","SU","115903547","Union Station","0","   0  8","1333808"
"0","SU","115903548","Union Station","0","   0  9","1333808"
"0","SU","115903556","Union Station","0","   0  9","1333808"
"0","SU","115903561","Union Station","0","   0  9","1333808"
"0","SU","115872973","Englewood Station","1","   0  1","1333811"
"0","SU","115873007","Englewood Station","1","   0  2","1333811"
"0","SU","115873014","Englewood Station","1","   0  3","1333811"
"0","SU","115872992","Englewood Station","1","   0  4","1333811"
"0","SU","115872967","Englewood Station","1","   0  4","1333811"
"0","SU","115872984","Englewood Station","1","   0  6","1333811"
"0","WK","115873039","Union Station","0","   0 10","1333808"
"0","WK","115873023","Union Station","0","   0 11","1333808"
"0","WK","115873058","Union Station","0","   0 12","1333808"
"0","WK","115873080","Union Station","0","   0  1","1333808"
"0","WK","115873054","Union Station","0","   0  1","1333808"
"0","WK","115873026","Union Station","0","   0  2","1333808"
"0","WK","115873070","Union Station","0","   0  5","1333808"
