"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"115543746","05:43:00","05:43:00","34560","1",,"0","1",,"1"
"115543746","05:45:00","05:45:00","34543","2",,"0","0",,"1"
"115543746","05:49:00","05:49:00","34559","3",,"0","0",,"1"
"115543746","05:58:00","05:58:00","34782","4",,"1","0",,"1"
"115543757","11:43:00","11:43:00","34560","1",,"0","1",,"1"
"115543757","11:45:00","11:45:00","34543","2",,"0","0",,"1"
"115543757","11:49:00","11:49:00","34559","3",,"0","0",,"1"
"115543757","11:58:00","11:58:00","34782","4",,"1","0",,"1"
"115543762","16:43:00","16:43:00","34560","1",,"0","1",,"1"
"115543762","16:45:00","16:45:00","34543","2",,"0","0",,"1"
"115543762","16:49:00","16:49:00","34559","3",,"0","0",,"1"
"115543762","16:58:00","16:58:00","34782","4",,"1","0",,"1"
"115543772","04:21:00","04:21:00","34510","1",,"0","1",,"1"
"115543772","04:24:00","04:24:00","34519","2",,"0","0",,"1"
"115543772","04:27:00","04:27:00","34541","3",,"0","0",,"1"
"115543772","04:31:00","04:31:00","34525","4",,"0","0",,"1"
"115543772","04:33:00","04:33:00","34529","5",,"0","0",,"1"
"115543772","04:37:00","04:37:00","34543","6",,"0","0",,"1"
"115543772","04:41:00","04:41:00","34559","7",,"0","0",,"1"
"115543772","04:48:00","04:48:00","34781","8",,"1","0",,"1"
"115543784","10:51:00","10:51:00","34510","1",,"0","1",,"1"
"115543784","10:54:00","10:54:00","34519","2",,"0","0",,"1"
"115543784","10:57:00","10:57:00","34541","3",,"0","0",,"1"
"115543784","11:01:00","11:01:00","34525","4",,"0","0",,"1"
"115543784","11:03:00","11:03:00","34529","5",,"0","0",,"1"
"115543784","11:07:00","11:07:00","34543","6",,"0","0",,"1"
"115543784","11:11:00","11:11:00","34559","7",,"0","0",,"1"
"115543784","11:18:00","11:18:00","34781","8",,"1","0",,"1"
"115543805","10:09:00","10:09:00","34782","1",,"0","1",,"1"
"115543805","10:13:00","10:13:00","34558","2",,"0","0",,"1"
"115543805","10:17:00","10:17:00","34544","3",,"0","0",,"1"
"115543805","10:24:00","10:24:00","34561","4",,"1","0",,"1"
"115543809","15:09:00","15:09:00","34782","1",,"0","1",,"1"
"115543809","15:13:00","15:13:00","34558","2",,"0","0",,"1"
"115543809","15:17:00","15:17:00","34544","3",,"0","0",,"1"
"115543809","15:24:00","15:24:00","34561","4",,"1","0",,"1"
"115543811","17:09:00","17:09:00","34782","1",,"0","1",,"1"
"115543811","17:13:00","17:13:00","34558","2",,"0","0",,"1"
"115543811","17:17:00","17:17:00","34544","3",,"0","0",,"1"
"115543811","17:24:00","17:24:00","34561","4",,"1","0",,"1"
"115543825","22:09:00","22:09:00","34782","1",,"0","1",,"1"
"115543825","22:13:00","22:13:00","34558","2",,"0","0",,"1"
"115543825","22:17:00","22:17:00","34544","3",,"0","0",,"1"
"115543825","22:24:00","22:24:00","34561","4",,"1","0",,"1"
"115543834","07:31:00","07:31:00","34781","1",,"0","1",,"1"
"115543834","07:35:00","07:35:00","34558","2",,"0","0",,"1"
"115543834","07:39:00","07:39:00","34544","3",,"0","0",,"1"
"115543834","07:42:00","07:42:00","34530","4",,"0","0",,"1"
"115543834","07:45:00","07:45:00","34526","5",,"0","0",,"1"
"115543834","07:49:00","07:49:00","34542","6",,"0","0",,"1"
"115543834","07:52:00","07:52:00","34520","7",,"0","0",,"1"
"115543834","07:58:00","07:58:00","34510","8",,"1","0",,"1"
"115543853","16:31:00","16:31:00","34781","1",,"0","1",,"1"
"115543853","16:35:00","16:35:00","34558","2",,"0","0",,"1"
"115543853","16:39:00","16:39:00","34544","3",,"0","0",,"1"
"115543853","16:42:00","16:42:00","34530","4",,"0","0",,"1"
"115543853","16:45:00","16:45:00","34526","5",,"0","0",,"1"
"115543853","16:49:00","16:49:00","34542","6",,"0","0",,"1"
"115543853","16:52:00","16:52:00","34520","7",,"0","0",,"1"
"115543853","16:58:00","16:58:00","34510","8",,"1","0",,"1"
"115543819","21:01:00","21:01:00","34781","1",,"0","1",,"1"
"115543819","21:05:00","21:05:00","34558","2",,"0","0",,"1"
"115543819","21:09:00","21:09:00","34544","3",,"0","0",,"1"
"115543819","21:12:00","21:12:00","34530","4",,"0","0",,"1"
"115543819","21:15:00","21:15:00","34526","5",,"0","0",,"1"
"115543819","21:19:00","21:19:00","34542","6",,"0","0",,"1"
"115543819","21:22:00","21:22:00","34520","7",,"0","0",,"1"
"115543819","21:28:00","21:28:00","34510","8",,"1","0",,"1"
"115543858","21:31:00","21:31:00","34781","1",,"0","1",,"1"
"115543858","21:35:00","21:35:00","34558","2",,"0","0",,"1"
"115543858","21:39:00","21:39:00","34544","3",,"0","0",,"1"
"115543858","21:42:00","21:42:00","34530","4",,"0","0",,"1"
"115543858","21:45:00","21:45:00","34526","5",,"0","0",,"1"
"115543858","21:49:00","21:49:00","34542","6",,"0","0",,"1"
"115543858","21:52:00","21:52:00","34520","7",,"0","0",,"1"
"115543858","21:58:00","21:58:00","34510","8",,"1","0",,"1"
"115543830","05:31:00","05:31:00","34781","1",,"0","1",,"1"
"115543830","05:35:00","05:35:00","34558","2",,"0","0",,"1"
"115543830","05:39:00","05:39:00","34544","3",,"0","0",,"1"
"115543830","05:42:00","05:42:00","34530","4",,"0","0",,"1"
"115543830","05:45:00","05:45:00","34526","5",,"0","0",,"1"
"115543830","05:49:00","05:49:00","34542","6",,"0","0",,"1"
"115543830","05:52:00","05:52:00","34520","7",,"0","0",,"1"
"115543830","05:58:00","05:58:00","34510","8",,"1","0",,"1"
"115543836","08:31:00","08:31:00","34781","1",,"0","1",,"1"
"115543836","08:35:00","08:35:00","34558","2",,"0","0",,"1"
"115543836","08:39:00","08:39:00","34544","3",,"0","0",,"1"
"115543836","08:42:00","08:42:00","34530","4",,"0","0",,"1"
"115543836","08:45:00","08:45:00","34526","5",,"0","0",,"1"
"115543836","08:49:00","08:49:00","34542","6",,"0","0",,"1"
"115543836","08:52:00","08:52:00","34520","7",,"0","0",,"1"
"115543836","08:58:00","08:58:00","34510","8",,"1","0",,"1"
"115543847","14:31:00","14:31:00","34781","1",,"0","1",,"1"
"115543847","14:35:00","14:35:00","34558","2",,"0","0",,"1"
"115543847","14:39:00","14:39:00","34544","3",,"0","0",,"1"
"115543847","14:42:00","14:42:00","34530","4",,"0","0",,"1"
"115543847","14:45:00","14:45:00","34526","5",,"0","0",,"1"
