"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"BMFX","RTD","BMFX","Broomfield FlexRide","This Route Travels 1 Zone","3","http://www.rtd-denver.com/callNRide.shtml","98CB4F","FFFFFF"
"EVFX","RTD","EVFX","Evergreen FlexRide","This Route Travels 1 Zone","3","http://www.rtd-denver.com/callNRide.shtml","98CB4F","FFFFFF"
"NBFX","RTD","NBFX","North Broomfield FlexRide","This Route Travels 1 Zone","3","http://www.rtd-denver.com/callNRide.shtml","98CB4F","FFFFFF"
"SJFX","RTD","SJFX","South Jeffco FlexRide","This Route Travels 1 Zone","3","http://www.rtd-denver.com/callNRide.shtml","98CB4F","FFFFFF"
"205","RTD","205","28th St / Gunbarrel ","This Route Travels Eastbound & Westbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"206","RTD","206","Conestoga/ Arapahoe / Fairview H.S.","This Route Travels Northbound & Southbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"208","RTD","208","Iris / Valmont","This Route Travels Eastbound & Westbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"10","RTD","10","East 12th Avenue","This Route Travels Eastbound & Westbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"105","RTD","105","Havana Street","This Route Travels Northbound & Southbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"120","RTD","120","120th Avenue Crosstown","This Route Travels Eastbound & Westbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"30","RTD","30","South Federal Blvd","This Route Travels Northbound & Southbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"46","RTD","46","South Dahlia","This Route Travels Northbound & Southbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"76","RTD","76","Wadsworth Blvd","This Route Travels Northbound & Southbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"8","RTD","8","North Broadway / Huron","This Route Travels Northbound & Southbound","3","http://www.rtd-denver.com/Schedules.shtml","0076CE","FFFFFF"
"GMFX","RTD","GMFX","Green Mountain FlexRide","This Route Travels 1 Zone","3","http://www.rtd-denver.com/callNRide.shtml","98CB4F","FFFFFF"
"ILFX","RTD","ILFX","Interlocken FlexRide","This Route Travels 1 Zone","3","http://www.rtd-denver.com/callNRide.shtml","98CB4F","FFFFFF"
"LSFX","RTD","LSFX","Louisville FlexRide","This Route Travels 1 Zone","3","http://www.rtd-denver.com/callNRide.shtml","98CB4F","FFFFFF"
"ORFX","RTD","ORFX","Orchard FlexRide","This Route Travels 1 Zone","3","http://www.rtd-denver.com/callNRide.shtml","98CB4F","FFFFFF"
