"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
"10","SA","115873542","9th Clermont via 12th Ave","0","  10  1","1333822"
"10","SA","115873534","9th Clermont via 12th Ave","0","  10  1","1333822"
"10","SA","115873548","9th Clermont via 12th Ave","0","  10  4","1333822"
"10","SA","115873540","9th Clermont via 12th Ave","0","  10  4","1333822"
"10","SA","115873569","Union Station","1","  10  4","1333827"
"10","SA","115873573","Union Station","1","  10  4","1333827"
"10","SA","115873577","Union Station","1","  10  4","1333827"
"10","SA","115873585","Union Station","1","  10  4","1333827"
"10","SU","115873606","9th Clermont via 12th Ave","0","  10  2","1333822"
"10","SU","115873625","9th Clermont via 12th Ave","0","  10  2","1333822"
"10","SU","115873617","9th Clermont via 12th Ave","0","  10  2","1333822"
"10","SU","115873622","9th Clermont via 12th Ave","0","  10  4","1333822"
"10","SU","115873605","9th Clermont via 12th Ave","0","  10  4","1333822"
"10","SU","115873609","9th Clermont via 12th Ave","0","  10  4","1333822"
"10","SU","115873660","Union Station","1","  10  4","1333827"
"100","SA","115873759","US 36 & Sheridan","0"," 100  3","1333828"
"100","SA","115873757","US 36 & Sheridan","0"," 100  3","1333828"
"100","SA","115873780","Federal Center Station","1"," 100  1","1333831"
"100","SA","115873779","Federal Center Station","1"," 100  3","1333831"
"100","SU","115873787","Arvada Ridge Station","0"," 100  1","1333829"
"100","WK","115873818","Arvada Ridge Station","0"," 100  3","1333829"
"100","WK","115873831","US 36 & Sheridan","0"," 100  4","1333828"
"100","WK","115873860","Federal Center Station","1"," 100  1","1333832"
"105","SA","115876676","Central Park","0"," 105  2","1333937"
"105","SA","115876663","Central Park","0"," 105  2","1333937"
"105","SA","115876679","Central Park","0"," 105  2","1333937"
"105","SA","115876716","Southmoor Via Havana","1"," 105  2","1333940"
"105","SA","115876734","Southmoor Via Havana","1"," 105  2","1333940"
"105","SA","115876724","Southmoor Via Havana","1"," 105  2","1333940"
"105","WK","115876955","Southmoor Via Havana","1","  40  2","1333940"
"11","SA","115877782","Aurora Metro Cntr via Mississippi","0","  11  2","1333958"
"11","SA","115877774","Aurora Metro Cntr via Mississippi","0","  11  7","1333956"
"11","SU","115877823","Aurora Metro Cntr via Mississippi","0","  11  1","1333958"
"11","SU","115877852","Broadway Stn","1","  11  1","1333965"
"112","SA","115877930","Northglenn & 112th Ave Stn via 112th Ave","0"," 120  1","1333968"
"112","SA","115877931","Northglenn & 112th Ave Stn via 112th Ave","0"," 120  3","1333968"
"112","SA","115877928","Northglenn & 112th Ave Stn via 112th Ave","0"," 120  3","1333968"
"112","SA","115877933","US36 & Broomfield","1"," 120  1","1333972"
"112","SA","115877941","US36 & Broomfield","1"," 120  1","1333972"
"112","SA","115877937","US36 & Broomfield","1"," 120  2","1333972"
"112","SU","115877966","US36 & Broomfield","1"," 120  2","1333972"
"112","SU","115877965","US36 & Broomfield","1"," 120  3","1333972"
